Nakalimutan ni Sami ang pangalan ni Layla.	Sami forgesis la nomon de Layla.	ang	0	0
Tulad ng nabanggit na, ang Ikatlong Tao ay madaling kapitan ng mga yugto ng pagkaabala sa sinaunang pagnanasa para sa personal na kawalang-kamatayan. Ang kasakimang ito ay madalas na malakas sa mga Unang Tao; at maging ang Pangalawang Tao, sa kabila ng kanilang dakilang kaloob ng detatsment, kung minsan ay pinahihintulutan sila ng kanilang paghanga sa personalidad ng taong hikayatin silang ang mga kaluluwa ay mabubuhay magpakailanman. Ang panandalian at di-teoretikal na Ikatlong Tao, kasama ang kanilang pagkahilig sa lahat ng uri ng buhay, at lahat ng pagkakaiba-iba ng mahahalagang pag-uugali, ay naglihi ng imortalidad sa iba't ibang paraan. Sa kanilang huling kultura, naisip nilang sa kamatayan ang lahat ng nabubuhay na bagay na sinang-ayunan ng Diyos-Buhay ay dumaan sa ibang mundo, na halos kapareho sa kilalang mundo, ngunit mas masaya. Doon sila ay sinasabing nanirahan sa presensya ng diyos, na naglilingkod sa kanya sa walang pigil na mahahalagang pagkamalikhain nang iba't ibang uri.	Kiel jam dirite, la Triaj Homoj estis emaj al fazoj de okupiteco kun la antikva avido al persona senmorteco. Ĉi tiu avido ofte estis forta inter la Unuaj Homoj; kaj eĉ la Duaj Homoj, malgraŭ sia granda dono de malligo, kelkfoje permesis, ke ilia admiro por homa personeco persvadi ilin, ke animoj devas vivi eterne. La mallongdaŭraj kaj neteoriaj Triaj Homoj, kun sia pasio por ĉiaspecaj vivaĵoj, kaj la tuta diverseco de esenca konduto, konceptis senmortecon en diversaj manieroj. En sia fina kulturo ili imagis, ke ĉe la morto ĉiuj vivaĵoj, kiujn aprobis la Vivo-Dio, transiris en alian mondon, tre similan al la konata mondo, sed pli feliĉa. Tie ili laŭdire vivis en la ĉeesto de la diaĵo, servante lin en senbrida esenca kreivo de diversaj specoj.	tulad	0	0
Nang umaga ng ika-21 ng Hulyo ng 2025, habang naglalakad sa kalye, bulong ko: "Tutubi!" May lumilipad na tutubi. Sa hapon, pumunta ako sa Parkeng Timog na Braso, dito sa Isla Lulu. Nagbabarbikyu ang mga kayumanggi. Nagtetenis ang mga dilaw. Ang mga puno ay templo para sa akin. Lunes ngayon.	Matene de la 21-a de julio de 2025, dum mi promenis sur la strato, mi flustris: "Libelo!" Libelo preterflugis. Posttagmeze mi iris al la Parko Suda Brako, ĉi tie sur Lulu-insulo. Brunuloj barbakuis. Flavuloj ludis tenison. La arbaro estas templo por mi. Estas lundo hodiaŭ.	pumunta	0	0
Subukan nating magtagpo nang isang beses sa isang taon sa pinakabawas.	Ni ĉiuj provas kunveni almenaŭ unu fojon jare.	nating	0	0
Sa pag-itan ng teorya at ideya'y malaking diperensiya.	Inter teorio kaj ideo estas granda diferenco.	y	0	0
Tumuloy umulang malakas pasado nang alas 10 nang umaga ng ika-16 ng Abril ng 2023 rito sa Isla Lulu. Naglakad muli ako. Malamig sa labas. Tapos, nasa pizzeria akong kumakain ng isang pirasong may pepperoni at umiinom ng Diet Cola. Ang tindero ay si Sachet, isang Bumbay na nakikinig sa radyo sa lengguwaheng Hindi, yata. Binabasa ko nang malakas ang Pranses na librong L'Empire romain ni Pierre Grimal, tungkol sa Imperyong Romano. Kaunti ang mga kustomer na dumating sa pizzeria dahil sa ulan.	Daŭre pluvegis post la 10-a matene la 16-an de aprilo de 2023 ĉi tie sur Lulu-insulo. Mi denove marŝis. Estis malvarme ekstere. Poste, mi estis en la picejo manĝante tranĉaĵon kun peperonio kaj trinkante Dietan Kolaon. La vendisto estis Saĉet, baratano, kiu aŭskultis la radion per la hindia lingvo, verŝajne. Mi voĉlegis la franclingvan libron L'Empire romain de Pierre Grimal, pri la Romia Imperio. Malmultaj klientoj venis al la picejo pro la pluvegado.	tapos	0	0
Ang ibig sabihin ng 'Tatoeba' sa Hapon ay 'halimbawa'.	"Tatoeba" japane signifas "ekzemple".	ibig	0	0
Nakita kong may isang puting ulap na naglayag sa langit.	Mi vidis blankan nubon ŝvebi tra la ĉielo.	nakita	0	0
Natatakot silang nasa labas ng bahay, dahil kapag nakikita nila ang kalikasan—ang mga puno, ang langit, ang ulap, at iba pa—nararamdaman nila ang "tunay" na diyos.	Ili timas esti ekster la domo, ĉar kiam ili vidas la naturon—la arbojn, la ĉielon, la nubojn, kaj tiel plu—ili sentas la "realan" dion.	kapag	0	0
Kahit na may mga hulaan sa salaysaying makaagham, di tayo ngayon lumilipad nang nakaroket sa bakpak, ni tayo nagbabakasyon sa Buwan, ni tayo kumakain nang pilduras ang nilulunok, at ni tayo nasasarapan sa luhong walang ginagawa habang gumagawa ng lipunang kayamanan ang mga robot.	Spite al prognozoj de la scienfikcia literaturo ni hodiaŭ ne flugas per raketa dorsosako, nek ni ferias surlune; niajn manĝojn ni ne glutas pilole kaj ni ne ĝuas luksan nenifaradon, dum robotoj kreas la sociajn riĉaĵojn.	ginagawa	0	0
Nililigawan siya, kasi mukha siyang lalaki.	Ŝi estas svatata, ĉar ŝi aspektas kiel viro.	kasi	0	0
Naobserbahan natin ang kapalaran ng walong magkakasunod na espesye ng tao sa loob nang isang bilyong taon, ang unang kalahati ng kislap na iyon ay ang tagal ng tao. Sampung higit pang mga espesye ngayon ay nagtatagumpay sa isa't isa, o naroroon, sa kapatagan ng Neptuno. Kami, ang Huling Sangkatauhan, ay ang Ikalabingwalong Sangkatauhan. Sa walong espesye bago sa Neptuno, ang ilan, gaya ng nakita natin, ay palaging nananatiling primitibo; marami ang nakamit ang hindi bababa sa isang nalilito at panandaliang sibilisasyon, at ang isa, ang makinang na Ikalima, ay nagising na sa totoong sangkatauhan nang durugin ito ng kasawian. Ang sampung uri ng Neptuno ay nagpapakita ng mas malaking pagkakaiba-iba. Ang mga ito ay mula sa likas na hayop hanggang sa mga paraan ng kamalayang hindi pa natatamo. Ang walang alinlangang mga subhumanong mabulok na uri ay limitado halos sa unang anim na raang milyong taon ng pananatili ng mga tao sa Neptuno.	Ni observis la sorton de ok sinsekvaj homaj specioj dum miliardo da jaroj, la unua duono de tiu flagrado, kiu estas la daŭro de la homo. Dek pliaj specioj nun sukcedas unu la alian, aŭ estas nuntempaj, sur la ebenaĵoj de Neptuno. Ni, la Lastaj Homoj, estas la Dekokaj Homoj. El la ok antaŭneptuniaj specioj, iuj, kiel ni vidis, restis ĉiam primitivaj; multaj atingis almenaŭ konfuzitan kaj paseman civilizacion, kaj unu, la brila Kvina, jam vekiĝis en la veran homaron, kiam la malfeliĉo dispremis ĝin. La dek neptunaj specioj montras eĉ pli grandan diversecon. Ili intervalas de la instinkta besto ĝis manieroj de konscio neniam antaŭe atingitaj. La sendube subhomaj degeneritaj tipoj estas limigitaj plejparte al la unuaj sescent milionoj da jaroj de la restado de homoj sur Neptuno.	taon	0	0
"Nasaan ang libro niya?" "Nasa ibabaw ng mesa."	"Kie estas ŝia libro?" "Ĝi estas sur la tablo."	nasaan	0	0
May mga iniisip si Rose, yaong Pilipinang tindera sa pizzeria sa Isla Lulu. Hindi siya pa desidido kung mag-aaral pa siyang maging asistente sa titser. Mga limang buwan ang planong edukasyon, pero kailangan niyang iwanan ang pizzeria dahil full-time. Lalaki ang panganay niya, at babae ang bunso. Sa gabi nagtratrabaho ang asawa niyang nadating nang mga alas-sais ng umaga sa condo nila. Sinundo ni Rose ang nanay niyang nakatira sa Cagayan sa Pilipinas (at patay nang matagal ang tatay niya). Nagmahigit nang isang taon ang nanay niya sa Isla Lulu, pero nalungkot siya at bumalik na sa Cagayan.	Roza, la filipina vendistino en la picejo sur Lulu-insulo, havas kelkajn pensojn. Ŝi ankoraŭ ne decidis, ĉu ŝi studos por iĝi instruista asistantino. La edukplano estus ĉirkaŭ kvin monatoj, sed ŝi devus forlasi la picejon, ĉar ĝi estus plentempa. Ŝia plej aĝa ido estas knabo, kaj ŝia plej juna estas knabino. Nokte, ŝia edzo laboras kaj alvenas al ilia posedapartamento ĉirkaŭ la sesa matene. Roza prenis sian patrinon, kiu loĝas en Kagajano en Filipinoj (kaj ŝia patro mortis delonge). Ŝia patrino estis sur Lulu-insulo pli ol unu jaron, sed ŝi malĝojis kaj revenis al Kagajano.	maging	0	0
Naobserbahan natin ang kapalaran ng walong magkakasunod na espesye ng tao sa loob nang isang bilyong taon, ang unang kalahati ng kislap na iyon ay ang tagal ng tao. Sampung higit pang mga espesye ngayon ay nagtatagumpay sa isa't isa, o naroroon, sa kapatagan ng Neptuno. Kami, ang Huling Sangkatauhan, ay ang Ikalabingwalong Sangkatauhan. Sa walong espesye bago sa Neptuno, ang ilan, gaya ng nakita natin, ay palaging nananatiling primitibo; marami ang nakamit ang hindi bababa sa isang nalilito at panandaliang sibilisasyon, at ang isa, ang makinang na Ikalima, ay nagising na sa totoong sangkatauhan nang durugin ito ng kasawian. Ang sampung uri ng Neptuno ay nagpapakita ng mas malaking pagkakaiba-iba. Ang mga ito ay mula sa likas na hayop hanggang sa mga paraan ng kamalayang hindi pa natatamo. Ang walang alinlangang mga subhumanong mabulok na uri ay limitado halos sa unang anim na raang milyong taon ng pananatili ng mga tao sa Neptuno.	Ni observis la sorton de ok sinsekvaj homaj specioj dum miliardo da jaroj, la unua duono de tiu flagrado, kiu estas la daŭro de la homo. Dek pliaj specioj nun sukcedas unu la alian, aŭ estas nuntempaj, sur la ebenaĵoj de Neptuno. Ni, la Lastaj Homoj, estas la Dekokaj Homoj. El la ok antaŭneptuniaj specioj, iuj, kiel ni vidis, restis ĉiam primitivaj; multaj atingis almenaŭ konfuzitan kaj paseman civilizacion, kaj unu, la brila Kvina, jam vekiĝis en la veran homaron, kiam la malfeliĉo dispremis ĝin. La dek neptunaj specioj montras eĉ pli grandan diversecon. Ili intervalas de la instinkta besto ĝis manieroj de konscio neniam antaŭe atingitaj. La sendube subhomaj degeneritaj tipoj estas limigitaj plejparte al la unuaj sescent milionoj da jaroj de la restado de homoj sur Neptuno.	mula	0	0
Tingnan ito.	Rigardu ĉi tion.	tingnan	0	0
Ang mas matandang siyudad ang mas maraming ginagawang basura.	Ju pli malnova estas urbo, des pli da rubaĵo ĝi produktas.	mas	0	0
Gusto naming kumain. Puwede ba ninyong bilisan ang serbisyo? Dapat kaming umalis nang alas 13 y medya.	Ni deziras manĝi. Ĉu vi povos servi nin rapide? Ni devos foriri antaŭ la dek tria kaj duono.	puwede	0	0
Nabanggit ko kay Michael na Tsino ang bisita ko noong Gradong 6 sa Isla Galiano, at nakita ko roon ang maraming harding ahas na iba-ibang kulay sa mga damo. Kinuha ng mga kaklase ko, at nilagay nila sa kahon para iuwi nila sa Isla Lulu. Nakakita raw si Michael ng harding ahas dito sa Isla Lulu, sa malapit sa Daang Numero 7. Hindi ko alam na may ahas pala rito. Sabi ni Michael na hindi siya mamamayan dito, at nagpapabago siya ng kanyang bisang pangbisita bawat taon. Ang asawa at mga anak niya ay mamamayan dito. Sabi ko'y sa Isla Bali sa Indonesia, natikman ko na ang "bunga ng ahas" o "salak" ang tawag doon.	Mi menciis al Miĥaelo la ĉino, ke mi vizitis dum la klaso 6 al Galiano-insulo, kaj tie mi vidis multajn ĝardenajn serpentojn diverskolorajn en la herbo. Miaj samklasanoj prenis ilin, kaj ili metis ilin en skatolojn por porti hejmen al Lulu-insulo. Miĥaelo supozeble vidis ĝardenan serpenton ĉi tie sur Lulu-insulo, proksime al Stratego Numero 7. Mi ne sciis, ke ĉi tie ekzistas serpentoj. Miĥaelo diras, ke li ne estas civitano ĉi tie, kaj li renovigas sian vizitantan vizon ĉiujare. Liaj edzino kaj infanoj estas civitanoj ĉi tie. Mi diris, ke sur Bali-insulo en Indonezio, mi gustumis la "serpentan frukton" aŭ "salak"-on kiel ĝi nomiĝas tie.	pala	0	0
May nadiskubre ka bang bago ngayon?	Ĉu vi malkovris hodiaŭ ion novan?	bago	0	0
Kinaumagahan nang ika-18 ng Oktubre ng 2021, pinag-usapan namin ni Hans na Olandes ang tungkol sa Nederlandiya. Uminom siya ng regular na kape, at uminom ako ng medyum na mayelong berdeng tsaa, sa kapihang Istarbaks. Dumating siya sa Canada mula sa Nederlandiya noong siya ay 10 taong gulang lamang. Dumating ako sa Canada mula sa Pilipinas noong 10 taong gulang din ako. Sinabi ko sa kanyang bumisita ako sa Nederlandiya at nasisiyahan sa lumang arkitektura sa Amsterdam, ngunit hindi ko nakita ang sakahan ng mga tulip sa labas ng lungsod. Tinuruan niya ako kung paano bigkasin ang "van Gogh." Marunong pa rin siya ng Olandes.	La 18-an de oktobro de 2021 matene, mi kaj Hans la nederlandano parolis pri Nederlando. Li trinkis regulan kafon, kaj mi trinkis mezgrandan glacian verdan teon, ĉe la kafejo Starbukso. Li alvenis al Kanado el Nederlando, kiam li estis nur 10-jaraĝa. Mi alvenis al Kanado el Filipinoj, kiam mi estis ankaŭ 10-jaraĝa. Mi diris al li, ke mi vizitis Nederlandon kaj ĝuis la oldan arkitekturon en Amsterdamo, sed mi ne vidis la tulipejon ekster la urbo. Li instruis min kiel oni prononcas "van Gogh". Li ankoraŭ scipovas la nederlandan.	sinabi	0	0
Itong pintura ang pinakamaganda.	Tiu ĉi pentraĵo estas ekstreme bela.	itong	0	0
E, talagang matagal ang gabi, di ba?	Do, la nokto estas tre longa, ĉu ne?	gabi	0	0
Una kaming nandito.	Ni estis ĉi tie la unuaj.	nandito	0	0
Ang tekniko'y nakakabago ng kaligiran, ngunit di ang ating instinto na kumukumporme pa sa antigong kaligiran.	La tekniko transformis nian medion, sed ne niajn instinktojn, kiuj ankoraŭ konformas al la pramedio.	ating	0	0
Pumarini't mag-usapan tayo tungkol sa mga bulaklak!	Venu, ni parolu pri floroj!	tungkol	0	0
Dumaan ako sa tabi ng bahay niya kahapon.	Mi preterpasis ŝian domon hieraŭ.	bahay	0	0
Noong ika-9 ng Pebrero ng 2023, nakita ko ang magandang Mehikanang si Lizbetang may pulang iskarp sa tsaahan sa Isla Lulu. Bumati ako sa kanya. At umupo siya sa isa pang mesa para gamitin ang kanyang tablet na may dilaw-berdeng takip. Sa aking mesa, nakaupo ako at nagbabasa ng librong siyensiyang piksiyon sa wikang Portuges na Ang Planeta ng mga Dragon ni Anne McCaffrey. Nagsalita ng Kastila si Lizbeta sa kanyang ismartpon nang ilang minuto.	La 9-an de februaro de 2023, mi vidis la belan meksikaninon Lizbeta kun ruĝa koltuko en la teejo sur Lulu-insulo. Mi salutis ŝin. Kaj ŝi sidiĝis ĉe alia tablo por uzi sian tabletkomputilon kun flavverda kovrilo. Ĉe mia tablo, mi sidis legante portugallingvan sciencfikcian libron La Planedo de Drakoj de Anne McCaffrey. Lizbeta parolis hispane al sia saĝtelefono dum kelkaj minutoj.	magandang	0	0
Ang pinakadakilang kaaway ng katotohanan ay hindi ang kasinungalingan—sinadya, artipisyal, hindi tapat, ngunit ang mito—patuloy, nakatutukso, at hindi totoo.	La plej granda malamiko de la vero ne estas la mensogo - intenca, artefarita, malhonesta, sed la mito - persista, tenta kaj nereala.	totoo	0	0
Oras, oras, oras, lahat ay depende sa kanya!	Tempo, tempo, tempo, ĉio dependas de ĝi!	oras	0	0
Mabuhay ang panaginip ninyo!	Vivu viajn sonĝojn!	ninyo	0	0
Di tama ang seksismo kung ang isip ay maraming lalaki ay parang babae.	Seksismo ne estas ĝusta se oni opinias, ke multaj viroj ŝajnas esti virinoj.	parang	0	0
Tumatawa ang buong grupo.	La tuta grupo ridas.	buong	0	0
Binasa niya ang tula sa kanya.	Ŝi legis poemon por li.	kanya	0	0
Noon, napangarap tungkol sa bagong tao sa mas magandang kinabukasang mundo. Ngayon, buhay tayo sa kinabukasang mundo noong panahon. Tungkol sa bagong tao, wala nang sinasabi, at wala nang interesado sa tanong kung anong klaseng mundo para tawaging maganda. Parang ang tanong tungkol sa kinabukasan ay hinaharapan ng tanong ngayon kung maging pera o hindi pera.	Iam oni revis pri nova homo en pli bela estonta mondo. Nun ni vivas en la estonta mondo de tiam. Pri nova homo neniu plu parolas, kaj la demando, kia estu mondo, por ke oni povu nomi ĝin bela, ne interesas multajn. Ŝajnas, ke la demandon pri la estonta mondo anstataŭas nun la demando pri la estanta aŭ ne estanta mono.	sinasabi	0	0
Sa Pilipinas, nagustuhan ng aking ama ang erkon at ang mang-aawit na si Elvis Presley, at ginusto niyang kasama ang kanyang pamilyang lumipat sa Canada sa tabi ng Estados Unidos. Mas gusto ko ang Australia dahil sa init.	En Filipinoj, mia patro ŝatis aerkondiĉigilon kaj la kantiston Elvis Presley, kaj li kun la familio preferis elmigri al Kanado apud Usono. Mi preferas Aŭstralion pro la varmeco.	kasama	0	0
Binigyan niya siya ng bagong pangalan.	Li donis al li novan nomon.	pangalan	0	0
Ayaw niyang tumigil magdaldal.	Ŝi ne ĉesis paroli.	ayaw	0	0
Nagregular ako ng aking Mayelong Berdeng Tsaang Grande sa kapihang Istarbaks. Dumating si Michael na Tsinong may dalang dalawang bungkos ng saging. Nag-order siya ng kanyang malimit na Venti Americano. Sa lamesa, kumain kami nang bawat isang saging niya. Pinag-usapan namin ang punsoy tungkol sa mga templo at mga bahay. Budista raw ang pamilya niya. Tapos, pinag-usapan namin ang coronavirus na "sekretong armas" ng siyentipiko ng militar ng sekretong bansa. Dumating si Hans na Olandes sa upuang de gulong niya. Pinag-usapan namin ang politika sa Canada at Estados Unidos. Talagang ibang lengguwahe ang ginagamit ko bawat kay Hans at kay Michael. Sang-ayon kaming ang isip ay mas importante sa katawan ng tao. Nagsasaya kaming bata pa kami ay nagbiyahe na kami nang mabuti at bata pa ring nagkakapihan na lamang.	Mi mendis mian oftan mezgrandan glacian verdan teon ĉe la kafejo Starbukso. Miĥaelo la ĉino alvenis kun du faskoj da bananoj. Li mendis sian oftan Venti Americano. Ĉe la tablo, ni manĝis po unu el liaj bananoj. Ni parolis pri la fengŝuo pri temploj kaj domoj. Lia familio laŭdire estas budaistoj. Poste, ni parolis pri la kronvirusa "sekreta armilo" de la milita sciencistaro de sekreta lando. Hans la nederlandano alvenis en sia rulseĝo. Ni parolis pri politiko en Kanado kaj Usono. Mi vere parolas malsamajn lingvojn kun Hans kaj kun Miĥaelo. Ni konsentas, ke la menso pli gravas ol la korpo je homoj. Ni ĝojas pensi, ke kiam ni estis pli junaj, ni vojaĝis bone, kaj kiam ni estas ankoraŭ junaj, ni nur amuziĝas en kafejo.	lamang	0	0
Yaong mama'y nagbigay sa anak mo.	Tiu fremdulo donacis ion al via infano.	anak	0	0
Aling wika ang pagsasalita sa inyong bansa?	Kiun lingvon oni parolas en via lando?	inyong	0	0
Noon, napangarap tungkol sa bagong tao sa mas magandang kinabukasang mundo. Ngayon, buhay tayo sa kinabukasang mundo noong panahon. Tungkol sa bagong tao, wala nang sinasabi, at wala nang interesado sa tanong kung anong klaseng mundo para tawaging maganda. Parang ang tanong tungkol sa kinabukasan ay hinaharapan ng tanong ngayon kung maging pera o hindi pera.	Iam oni revis pri nova homo en pli bela estonta mondo. Nun ni vivas en la estonta mondo de tiam. Pri nova homo neniu plu parolas, kaj la demando, kia estu mondo, por ke oni povu nomi ĝin bela, ne interesas multajn. Ŝajnas, ke la demandon pri la estonta mondo anstataŭas nun la demando pri la estanta aŭ ne estanta mono.	maganda	0	0
Binuhos ko ang tubig paloob ng balde.	Mi donis akvon en la sitelon.	tubig	0	0
Para sa Ikaapat na Tao, ang mga Dakilang Utak, walang buhay ang posible kundi ang buhay ng talino; at ang buhay ng talino ay naging walang bunga. Malinaw na isang bagay na higit pa sa isang malaking bahagi ng utak ang kailangan upang malutas ang mas malalim na mga problema sa intelektwal. Samakatuwid, dapat silang lumikha ng bagong kalidad ng utak, o organikong pagbuo ng utak, na may kakayahang makakita o makaunawang imposible sa kasalukuyang estado nito. Kailangan nilang matutunan kung paano gawing muli ang kanilang sariling tisyu sa utak ayon sa isang bagong plano. Sa layuning ito, at bahagyang dahil sa ignoranteng paninibugho sa natural at mas balanseng espesyeng lumikha sa kanila, sinimulan nilang gamitin ang kanilang mga nakuhang espesimen ng espesyeng iyon para sa malaking bagong pagsasagawa ng pananaliksik sa kalikasan ng tisyu ng utak ng tao.	Por la Kvaraj Homoj, la Grandaj Cerboj, ne estis ebla vivo krom la vivo de intelekto; kaj la vivo de intelekto fariĝis senfrukta. Evidente io pli ol nura grandparto de cerbo estis bezonata por la solvado de la pli profundaj intelektaj problemoj. Ili devas do iel krei novan cerbkvaliton, aŭ organikan formadon de cerbo, kapabla je vizio aŭ kompreno neebla en sia nuna stato. Ili devas lerni iel refari siajn proprajn cerbajn histojn laŭ nova plano. Kun ĉi tiu celo, kaj parte pro senscia ĵaluzo de la natura kaj pli ekvilibra specio, kiu ilin kreis, ili komencis uzi siajn kaptitajn specimenojn de tiu specio por granda nova entrepreno de esplorado pri la naturo de homa cerba histo.	nito	0	0
Si Florencia'y galing sa Chile. Taga-Chile siya.	Florencia venas de Ĉilio. Ŝi estas ĉilianino.	galing	0	0
Baka magugustuhan mong magtrabaho nang maging tagatulong sa hardin.	Eble plaĉos al vi labori kiel ĝardenhelpanto.	baka	0	0
Paano ko gagawin nang wala ka?	Kiel mi farus sen vi?	gagawin	0	0
Paraiso ng bata ang pulo.	La insulo estas infanparadizo.	bata	0	0
Ibang bayan ay ibang kaugalian.	Alia lando; aliaj moroj.	ibang	0	0
Gamitin ang taynga para makita mo.	Vidu per viaj oreloj.	makita	0	0
Mahigit na limang daang taon na daw nang ginawa ang templong ito.	Oni diras, ke tiu ĉi templo estis konstruita antaŭ pli ol kvincent jaroj.	ginawa	0	0
